Name of Institution,Street Address,City,ZIP Code,County,Georeference
Alma Bank,28-20 Ditmars Boulevard,Astoria,11105,Queens,POINT (-73.911791 40.776889)
Webster Bank,760 McLean Avenue,Yonkers,10704,Westchester,POINT (-73.873418 40.908245)
"HSBC Bank USA, National Association",449 SOUTH BROADWAY,YONKERS,10705,Westchester,POINT (-73.896639 40.917622)
"JPMorgan Chase Bank, National Association",128 Brighton Beach Avenue,Brooklyn,11235,Kings,POINT (-73.967146 40.576295)
Wells Fargo ATM,154 Route 59,Monsey,10952,Rockland,POINT (-74.078761 41.109045)
Citibank N. A.,1150 Old Country Road,Westbury,11590,Nassau,POINT (-73.55599 40.755397)
Compass Federal Credit Union,300 West First Street,Oswego,13126,Oswego,POINT (-76.508921 43.452392)
Woori America Bank,330 Fifth Avenue,New York,10001,New York,POINT (-73.985262 40.747494)
Champlain National Bank,32 Cornelia Street,Plattsburgh,12901,Clinton,POINT (-73.453379 44.699494)
"JPMorgan Chase Bank, National Association",179 East 116th Street,New York,10029,New York,POINT (-73.940514 40.798154)
"JPMorgan Chase Bank, National Association",405 Route 59,Monsey,10952,Rockland,POINT (-74.089468 41.110095)
"NBT Bank, National Association",65 Main Street,Cortland,13045,Cortland,POINT (-76.180362 42.599087)
People's United Bank,127 Seventh Avenue,New York,10011,New York,POINT (-73.997974 40.740885)
"Community Bank, N.A.",1125 Arsenal Street,Watertown,13601,Jefferson,POINT (-75.939992 43.976863)
"Community Bank, N.A.",2297 Sanarac Avenue,Lake Placid,12946,Essex,POINT (-73.989617 44.292816)
People's United Bank,384 Plandome Road,Manhasset,11030,Nassau,POINT (-73.699788 40.797837)
"JPMorgan Chase Bank, National Association",47-11 Queens Boulevard,Queens,11104,Queens,POINT (-73.917108 40.743136)
"Capital One, N.A.",1020 Port Washington Boulevard,Port Washington,11050,Nassau,POINT (-73.684127 40.830654)
State Employees Federal Credit Union,700 PATROON CREEK BLVD,ALBANY,12206,Albany,POINT (-73.808588 42.683666)
Santander Bank,998 Franklin Avenue,Garden City,11530,Nassau,POINT (-73.635602 40.729472)
New York Community Bank,653 MONTAUK HIGHWAY,WEST BABYLON,11704,Suffolk,POINT (-73.345822 40.68575)
Empower Federal Credit Union,963 State Fair Boulevard,Syracuse,13209,Onondaga,POINT (-76.247283 43.098723)
Wells Fargo ATM,1050 Pleasantville Road,Briarcliff Manor,10510,Westchester,POINT (-73.829455 41.149244)
Citibank N. A.,749 Broadway,New York,10003,New York,POINT (-73.992662 40.730305)
Dime Community Bank,8191 Jericho Turnpike,Woodbury,11797,Nassau,POINT (-73.469109 40.815842)
Five Star Bank,309 South Main Street,Horseheads,14845,Chemung,POINT (-76.819784 42.165772)
Wells Fargo ATM,475 Sixth Avenue,New York,10011,New York,POINT (-73.997946 40.735839)
New York Community Bank,82 10 153RD AVENUE,HOWARD BEACH,11414,Queens,
Citizens Bank,Route 9 & Aviation Road,Glens Falls,12801,Warren,POINT (-73.67306 43.330399)
Watertown Savings Bank,30 East Church Street,Adams,13605,Jefferson,POINT (-76.021084 43.809281)
"Berkshire Bank (Pittsfield, MA)",255 Delaware Avenue,Delmar,12054,Albany,POINT (-73.821224 42.626415)
"NBT Bank, National Association",700 North Main Street,Syracuse,13212,Onondaga,POINT (-76.127276 43.143333)
Tioga State Bank,1387 State Route 96,Owego,13827,Tioga,POINT (-76.270635 42.122263)
"JPMorgan Chase Bank, National Association",60 Great Neck Road,Great Neck,11022,Nassau,POINT (-73.728558 40.785472)
Northwest Savings Bank,500 Center Street,Lewiston,14092,Niagara,POINT (-79.040832 43.172712)
Cattaraugus County Bank,550 Broad Street,Salamanca,14779,Cattaraugus,POINT (-78.73585 42.158251)
"Commerce Bank, N.A.",300 Carleton Avenue,Central Islip,11722,Suffolk,POINT (-73.197313 40.76714)
Bank of America N.A. GA1-006-15-40,2020 Merrick Road,South Merrick,11566,Nassau,POINT (-73.54957 40.656268)
Teachers Federal Credit Union,770 Park Avenue,Huntington,11743,Suffolk,POINT (-73.393447 40.858512)
"JPMorgan Chase Bank, National Association",14 Sussex Street,Port Jervis,12771,Orange,POINT (-74.69248 41.374378)
Citizens Bank,17 North Avenue,Pleasant Valley,12569,Dutchess,POINT (-73.824816 41.745159)
TD Bank N.A.,1401 Route 300,Newburgh,12550,Orange,POINT (-74.068671 41.517992)
Apple Bank For Savings,79 Route 59,Monsey,10952,Rockland,POINT (-74.066816 41.107553)
"JPMorgan Chase Bank, National Association",150 South Ridge Street,Rye Brook,10573,Westchester,POINT (-73.681204 41.002757)
"Elmira Savings Bank, FSB",333 East Water Street,Elmira,14901,Chemung,POINT (-76.801456 42.08833)
Citibank N. A.,129 East Park Avenue,Long Beach,11561,Nassau,POINT (-73.659893 40.588686)
Citibank N. A.,411 Fifth Avenue,New York,10016,New York,POINT (-73.983082 40.750509)
Hudson River Community Credit Union,312 Palmer Avenue,Corinth,12822,Saratoga,POINT (-73.821933 43.244923)
Hudson United Bank,161 North Plank Road,Newburgh,12550,Orange,POINT (-74.040415 41.53762)
"JPMorgan Chase Bank, National Association",11420 Jamaica Avenue,Richmond Hill,11418,Queens,POINT (-73.834309 40.698552)
Northwest Savings Bank,5751 South Park Avenue,Hamburg,14075,Erie,POINT (-78.825154 42.740483)
Santander Bank,215 ATLANTIC AVENUE,BROOKLYN,11201,Kings,POINT (-73.992188 40.689629)
"Key Bank, National Association",1532 Route 9,Halfmoon,12065,Albany,POINT (-73.747441 42.843112)
Capital Communications Federal CU,384 Bender Lane,Glenmont,12077,Albany,POINT (-73.791215 42.606595)
New York Community Bank,51-13 108TH STREET,CORONA HEIGHTS,11368,Queens,POINT (-73.855044 40.743515)
Savannah Bank N.A.,126 Main Street,Port Byron,13140,Cayuga,POINT (-76.623298 43.035818)
Investors Bank,150-07 14th Avenue,Whitestone,11357,Queens,POINT (-73.813667 40.788872)
AmeriCU Credit Union,295 Grant Avenue,Auburn,13021,Cayuga,POINT (-76.544516 42.95408)
Investors Bank,267 Fifth Avenue,New York,10016,New York,POINT (-73.986766 40.745422)
"JPMorgan Chase Bank, National Association",60 North Country Road,Port Jefferson,11777,Suffolk,POINT (-73.054666 40.937807)
"Flushing Bank, FB",1122 Franklin Avenue,Garden City,11530,Nassau,POINT (-73.636509 40.731842)
TD Bank N.A.,1864 Williamsbridge Road,Bronx,10461,Bronx,POINT (-73.852736 40.852054)
City National Bank,71 Fifth Avenue,New York,10003,New York,POINT (-73.993248 40.736494)
TD Bank N.A.,647 Main Street,Northport,11768,Nassau,POINT (-73.329888 40.899488)
Five Star Bank,300 Spindrift Dr,Amherst,14221,Erie,POINT (-78.714581 42.957658)
Tompkins Trust Company,2 West Main Street,Trumansburg,14886,Tompkins,POINT (-76.662875 42.542096)
"JPMorgan Chase Bank, National Association",2515 Queens Plaza,Long Island City,11101,Queens,POINT (-73.940147 40.750923)
Five Star Bank,3110 Main Street,Caledonia,14423,Livingston,POINT (-77.853782 42.973124)
Ulster Savings Bank,180 SCHWENK DRIVE,KINGSTON,12401,Ulster,POINT (-74.024629 41.936636)
Pittsford Federal Credit Uniion,1321 Pittsford Mendon Road,Mendon,14506,Monroe,POINT (-77.506975 43.00203)
Visions Federal Credit Union,500 West Erie Boulevard,Syracuse,13204,Onondaga,POINT (-76.161059 43.049928)
Manufacturers and Traders Trust Company,101-25 Queens Boulevard,Forest Hills,11375,Queens,POINT (-73.851757 40.726372)
Northern Federal Credit Union,305 Dodge Ave,Sackets Harbor,13685,Jefferson,POINT (-76.10869 43.949445)
ESL Federal Credit Union,1658 Lake Road,Hamlin,14464,Monroe,POINT (-77.920833 43.297032)
"Key Bank, National Association",2255  East Ridge Road,Rochester,14622,Monroe,POINT (-77.558909 43.204096)
First National Bank of Scotia,240 Saratoga Road--Route 50,Scotia,12302,Schenectady,POINT (-73.932765 42.868389)
"HSBC Bank USA, National Association",74 Pondfield Road,Bronxville,10708,Westchester,POINT (-73.833441 40.940514)
New York Community Bank,76-02 NORTHERN BOULEVARD,JACKSON HEIGHTS,11372,Queens,POINT (-73.890459 40.754979)
Pathfinder Bank,109 West Fayette Street,Syracuse,13202,Onondaga,POINT (-76.152772 43.048687)
Bank of America N.A. GA1-006-15-40,224 West 4th Street,New York,10014,New York,POINT (-74.002898 40.733992)
TD Bank N.A.,640 East Fordham Road,Bronx,10458,Bronx,POINT (-73.883866 40.857999)
"NBT Bank, National Association",295 BROADWAY,SARATOGA SPRINGS,12866,Saratoga,POINT (-73.786329 43.077792)
"Community Bank, N.A.",8720 East Main Street,Clymer,14724,Chautauqua,POINT (-79.628834 42.020823)
Citibank N. A.,4881 Merrick Road,Massapequa Park,11762,Nassau,POINT (-73.455258 40.666497)
Bank of America N.A. GA1-006-15-40,52 East Park Avenue,Long Beach,11561,Nassau,POINT (-73.662315 40.588389)
Manufacturers and Traders Trust Company,610 Old Route 146,Clifton Park,12065,Saratoga,POINT (-73.778725 42.863816)
"Summit Federal Credit Union, The",1400 Erie Boulevard East,Syracuse,13210,Onondaga,POINT (-76.127086 43.050309)
New York Community Bank,1268 BROADWAY,BROOKLYN,11221,Kings,POINT (-73.924862 40.691088)
Dime Community Bank,400 BROADHOLLOW ROAD,MELVILLE,11747,Suffolk,POINT (-73.41973 40.778519)
Lake Shore Savings Bank,5751 Transit Road,East Amherst,14051,Erie,POINT (-78.696933 43.004597)
"Key Bank, National Association",1455 French Road,Depew,14043,Erie,POINT (-78.69833 42.868102)
"JPMorgan Chase Bank, National Association",4425 East Genesee Street,DeWitt,13214,Onondaga,POINT (-76.067551 43.035189)
"JPMorgan Chase Bank, National Association",62 Main Street,Tuckahoe,10707,Westchester,POINT (-73.82763 40.9506)
Citibank N. A.,Hofstra University,Hempstead,11550,Nassau,
"Capital One, N.A.",3049 Buhre Avenue,Bronx,10461,Bronx,POINT (-73.830685 40.847601)
Visions Federal Credit Union,303 Conklin Avenue,Binghamton,13903,Broome,POINT (-75.888769 42.096391)
People's United Bank,1444 East Boston Post Road,Mamaroneck,10543,Westchester,POINT (-73.716677 40.954698)
"Capital One, N.A.",190 Broadway,Hicksville,11801,Nassau,POINT (-73.520173 40.764452)
"JPMorgan Chase Bank, National Association",4210 Sunrise Highway,Massapequa,11758,Nassau,POINT (-73.476545 40.675536)
Reliant Community Credit Union,10 Benton Place,Sodus,14551,Wayne,POINT (-77.065938 43.230966)
"Capital One, N.A.",557 Melrose Avenue,Bronx,10455,Bronx,POINT (-73.917655 40.816343)
Manufacturers and Traders Trust Company,22 Mechanic Street,Springville,14141,Erie,POINT (-78.666011 42.509125)
Manufacturers and Traders Trust Company,1034 Second Avenue,New York,10022,New York,POINT (-73.966492 40.75765)
Bank of America N.A. GA1-006-15-40,565 South Oyster Bay Road,Plainview,11803,Nassau,POINT (-73.501307 40.770618)
"Berkshire Bank (Pittsfield, MA)",7 Halfmoon Crossing,Halfmoon,12065,Saratoga,POINT (-73.768232 42.858177)
New York Community Bank,1501 DEER PARK AVENUE,NORTH BABYLON,11703,Suffolk,POINT (-73.324569 40.749701)
Cayuga Lake National Bank,165 Cayuga Street,Union Springs,13160,Cayuga,POINT (-76.691842 42.842535)
Bank of America N.A. GA1-006-15-40,One Clinton Square,Syracuse,13202,Onondaga,
Webster Bank,2 River Street,New Rochelle,10801,Westchester,POINT (-73.777158 40.914129)
"JPMorgan Chase Bank, National Association",1599 Flatbush Avenue,Brooklyn,11210,Kings,POINT (-73.946077 40.631327)
"Key Bank, National Association",2397 Maple Road,Amherst,14221,Erie,POINT (-78.697677 42.989302)
Evans National Bank,5688 South Transit Rd,Lockport,14094,Erie,POINT (-78.696895 43.149295)
"Capital One, N.A.",116 Bowery,New York,10013,New York,POINT (-73.994872 40.718302)
Empire Federal Credit Union,2828 McLane Drive,Baldwinsville,13027,Oswego,POINT (-76.312342 43.181265)
Manufacturers and Traders Trust Company,4958 Route 22,Amenia,12501,Dutchess,POINT (-73.556915 41.849942)
TD Bank N.A.,4126 Merrick Road,Massapequa,11758,Nassau,POINT (-73.480538 40.666815)
Citibank N. A.,500 Hicksville Road,Bethpage,11714,Nassau,POINT (-73.494954 40.738425)
"NBT Bank, National Association",52 South Broad Street,Norwich,13815,Chenango,POINT (-75.523571 42.528881)
"NBT Bank, National Association",6554 State Hwy 56,Potsdam,13676,St. Lawrence,POINT (-74.98701 44.685694)
"JPMorgan Chase Bank, National Association",290 Avenue X,Brooklyn,11223,Kings,POINT (-73.972359 40.590306)
"JPMorgan Chase Bank, National Association",919 Third Avenue,New York,10022,New York,POINT (-73.968273 40.759256)
Bank of America N.A. GA1-006-15-40,915 West Beech Street,Long Beach,11561,Nassau,POINT (-73.692286 40.586022)
Empire Federal Credit Union,5933 South Salina Street,Syracuse,13205,Onondaga,POINT (-76.143377 42.984312)
"JPMorgan Chase Bank, National Association",22 Grace Avenue,Great Neck,11021,Nassau,POINT (-73.726831 40.788642)
"JPMorgan Chase Bank, National Association",798 Manhattan,Brooklyn,11222,Kings,POINT (-73.952975 40.727609)
"JPMorgan Chase Bank, National Association",204 West First Street,Oswego,13126,Oswego,POINT (-76.510949 43.456027)
New York Community Bank,1900 HEMPSTEAD TURNPIKE,EAST MEADOW,11554,Nassau,POINT (-73.566561 40.72401)
Citibank N. A.,1492 Hylan Boulevard,Staten Island,10305,Richmond,POINT (-74.087433 40.591941)
"Capital One, N.A.",1295 Broadway,Hewlett,11557,Nassau,POINT (-73.701368 40.63832)
First National Bank of Long Island,130 Mineola Avenue,Roslyn Heights,11577,Nassau,POINT (-73.650635 40.78798)
Bank of America N.A. GA1-006-15-40,1580 Flatbush Avenue,Brooklyn,11210,Kings,POINT (-73.947076 40.632268)
"JPMorgan Chase Bank, National Association",260 Columbus Avenue,New York,10023,New York,POINT (-73.97863 40.777643)
Trustco Bank N.A. CTF,327 Route 59 East,Airmont,10952,Rockland,POINT (-74.095849 41.110679)
"Community Bank, N.A.",585 Main Street,Oneida,13421,Madison,POINT (-75.642642 43.079782)
Lyons National Bank,63 Genesee Street,Auburn,13021,Cayuga,POINT (-76.565668 42.932007)
New York Community Bank,1785 VICTORY BOULEVARD,STATEN ISLAND,10314,Richmond,POINT (-74.123005 40.613051)
Banco Popular North America,1619 Sheepshead Bay Road,Brooklyn,11235,Kings,POINT (-73.952687 40.586977)
"JPMorgan Chase Bank, National Association",1064 Old Country Road,Plainview,11803,Nassau,POINT (-73.470606 40.776252)
"Capital One, N.A.",5 Green Acres Road,Valley Stream,11582,Nassau,POINT (-73.713519 40.662697)
ACMG Federal Credit Union,4659 ONONDAGA BOULEVARD,SYRACUSE,13219,Onondaga,POINT (-76.193566 43.032354)
New York Community Bank,1214 CASTLETON AVENUE,STATEN ISLAND,10310,Richmond,POINT (-74.122801 40.634095)
Citibank N. A.,1078 Third Avenue,New York,10021,New York,POINT (-73.964511 40.764383)
Hudson Valley Credit Union,1 Civic Center Plaza,Poughkeepsie,12601,Dutchess,POINT (-73.928793 41.704326)
Suffolk Federal Credit Union,3681 Horseblock Road,Medford,11763,Suffolk,POINT (-72.96159 40.816404)
"Capital One, N.A.",927 Flatbush Avenue,Brooklyn,11226,Kings,POINT (-73.958385 40.649087)
Manufacturers and Traders Trust Company,2669 Main Street,Whitney Point,13862,Broome,POINT (-75.966868 42.329038)
Bank of America N.A. GA1-006-15-40,2380 Broadway,New York,10024,New York,POINT (-73.975609 40.78923)
"Summit Federal Credit Union, The",2290 Delaware Avenue,Buffalo,14216,Erie,POINT (-78.868314 42.94613)
"Berkshire Bank, The",4 East 39th Street,New York,10016,New York,POINT (-73.981627 40.751314)
TD Bank N.A.,2260 Merrick Road,Merrick,11566,Nassau,POINT (-73.541477 40.660256)
"Elmira Savings Bank, FSB",142 MAIN STREET,MORAVIA,13118,Cayuga,POINT (-76.421564 42.71254)
Citibank N. A.,300 Walt Whitman Center,Huntington Station,11746,Suffolk,POINT (-73.411697 40.81941)
First National Bank of Long Island,1 East Montauk Highway,Lindenhurst,11757,Nassau,POINT (-73.363953 40.678472)
First National Bank of Long Island,132-11A 14th Avenue,College Point,11356,Queens,
TD Bank N.A.,2636 University Ave,Bronx,10468,Bronx,POINT (-73.901289 40.86805)
Tomkins Mahopac Bank,2 Church Street,Ossining,10562,Westchester,POINT (-73.862005 41.161128)
AmeriCU Credit Union,3944 NY Rt 281,Cortland,13045,Cortland,POINT (-76.204654 42.597835)
"Community Bank, N.A.",11 Schuyler Street,Belmont,14813,Allegany,POINT (-78.033949 42.223186)
Hanover Community Bank,80 East Jericho Turnpike,Mineola,11501,Nassau,POINT (-73.631629 40.752375)
"Community Bank, N.A.",1 Main Street,Waddington,13694,St. Lawrence,POINT (-75.204537 44.865489)
TD Bank N.A.,1600 Hempstead Turnpike,East Meadow,11554,Nassau,POINT (-73.577386 40.722835)
Citibank N. A.,2825 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.169612 40.576953)
"Key Bank, National Association",215 Tecumesh Road,Syracuse,13224,Onondaga,POINT (-76.110352 43.027283)
Cross County Federal Savings Bank,80-10 Eliot Avenue,Middle Village,11379,Queens,POINT (-73.878993 40.725105)
Bank of America N.A. GA1-006-15-40,36 East 14th Street,New York,10003,New York,POINT (-73.991916 40.735291)
Pathfinder Bank,78 COUNTY ROUTE 89,OSWEGO,13126,Sullivan,POINT (-76.559323 43.449037)
Bank of America N.A. GA1-006-15-40,265 Montauk Highway,Islip,11751,Suffolk,POINT (-73.219052 40.727938)
"HSBC Bank USA, National Association",3478 Boston Road,Bronx,10469,Bronx,POINT (-73.847437 40.87669)
Investors Bank,1577 Northern Boulevard,Manhasset,11030,Nassau,POINT (-73.688276 40.794105)
"Empire State Bank, N.A.","1441 South Avenue, Suite 101",Staten Island,10314,Richmond,POINT (-74.182832 40.603783)
Manufacturers and Traders Trust Company,246 South Highland Avenue,Ossining,10562,Westchester,POINT (-73.86139 41.142262)
Citibank N. A.,1920 Palmer Avenue,Larchmont,10538,Westchester,POINT (-73.759317 40.932325)
Wells Fargo ATM,492 W 42nd Street,New York,10036,New York,POINT (-73.995418 40.759605)
Five Star Bank,2425 Rochester Road,Canandaigua,14424,Ontario,POINT (-77.301574 42.91399)
Niagara's Choice Federal Credit Union,2131 Sawyer Drive,Wheatfield,14304,Niagara,POINT (-78.935594 43.091529)
Manufacturers and Traders Trust Company,6000 South Park Avenue,Hamburg,14075,Erie,POINT (-78.825435 42.733887)
Wells Fargo ATM,534 HUDSON STREET,NEW YORK,10014,New York,POINT (-74.006192 40.734274)
Dime Community Bank,2200 Montauk Highway,Bridgehampton,11932,Suffolk,POINT (-72.311606 40.933704)
"Key Bank, National Association",4455 Transit Road,Williamsville,14221,Erie,POINT (-78.696779 42.968194)
Bank of America N.A. GA1-006-15-40,23 East Main Street,Washingtonville,10992,Orange,POINT (-74.165617 41.427943)
"Capital One, N.A.",32-02 Francis Lewis Boulevard,Flushing,11358,Queens,POINT (-73.791774 40.768695)
Apple Bank For Savings,116-12 Queens Boulevard,Kew Gardens,11375,Queens,POINT (-73.833653 40.715941)
Manufacturers and Traders Trust Company,43 South Main Street,Perry,14530,Wyoming,POINT (-78.003321 42.717452)
Citibank N. A.,1650 Bedford Avenue,Brooklyn,11225,Kings,POINT (-73.956741 40.666029)
New York Community Bank,6199 SUNRISE HIGHWAY,MASSAPEQUA,11758,Nassau,POINT (-73.429444 40.6831)
Summit Bank,333 Sawmill River Road,Elmford,10523,Westchester,
Bank of America N.A. GA1-006-15-40,572 Gramatan Avenue,Mount Vernon,10552,Westchester,POINT (-73.835664 40.926062)
Newbank,45-68 Francis Lewis Blvd.,Bayside,11361,Queens,POINT (-73.782336 40.75551)
Citibank N. A.,885 Flatbush Avenue,Brooklyn,11226,Kings,POINT (-73.958651 40.650165)
Hudson Valley Credit Union,155 Stringham Road,Lagrangeville,12540,Dutchess,POINT (-73.796668 41.667668)
"JPMorgan Chase Bank, National Association",450 Third Avenue,New York,10016,New York,POINT (-73.979271 40.744135)
"Bank of Castile, The",604 West Main Street,Arcade,14009,Wyoming,
"JPMorgan Chase Bank, National Association",2360 Jericho Turnpike,Garden City Park,11040,Nassau,POINT (-73.659801 40.742525)
Capital Communications Federal CU,582 Balltown Road,Schenectady,12304,Schenectady,POINT (-73.893029 42.783516)
Santander Bank,4823 13th Avenue,Brooklyn,11219,Kings,POINT (-73.991686 40.635447)
"JPMorgan Chase Bank, National Association",39 SMITH ST,NANUET,10954,Rockland,POINT (-73.999326 41.094782)
First Central Savings Bank,71-66 Austin Street,Forest Hills,11375,Queens,POINT (-73.842591 40.719337)
Cathay Bank,41-48 Main Street,Flushing,11355,Queens,POINT (-73.828864 40.756844)
"HSBC Bank USA, National Association",174 MONTAGUE STREET,BROOKLYN,11201,Kings,POINT (-73.992075 40.694185)
"Flushing Bank, FB",31-16 30th Avenue,Astoria,11102,Queens,POINT (-73.920732 40.766589)
"JPMorgan Chase Bank, National Association",1450 Old Country Road,Riverhead,11901,Suffolk,POINT (-72.691123 40.926348)
"Community Bank, N.A.",2516 West Main Street,Cato,13033,Cayuga,POINT (-76.573886 43.167941)
Tompkins Trust Company,6872 East Genesee Street,Fayetteville,13066,Onondaga,POINT (-76.045507 43.028423)
Citizens Bank,3333 Consaul Road,Niskayuna,12309,Schenectady,POINT (-73.891907 42.782258)
Apple Bank For Savings,1168 FIRST AVENUE,NEW YORK,10021,New York,POINT (-73.959383 40.763164)
"Flushing Bank, FB",260 E RXR PLAZA,UNIONDALE,11536,Nassau,POINT (-73.583095 40.718651)
Trustco Bank N.A. CTF,2050 Western Avenue,Guiderland,12084,Albany,POINT (-73.889197 42.697883)
"Key Bank, National Association",2 Franklin Avenue,Clinton,13323,Oneida,POINT (-75.381612 43.047974)
Trustco Bank N.A. CTF,133 Saratoga Road,South Glen Falls,12803,Warren,POINT (-73.639468 43.287683)
People's United Bank,144 Sunset Avenue,Westhampton Beach,11978,Suffolk,POINT (-72.644726 40.813711)
Seneca Savings,584 NY Route 31,Bridgeport,13030,Madison,POINT (-75.95658 43.15509)
Ridgewood Savings Bank,205-09/11 HILLSIDE AVENUE,HOLLIS,11423,Queens,
Bethpage Federal Credit Union,722 WALT WHITMAN ROAD,MELVILLE,11747,Suffolk,POINT (-73.411126 40.804034)
Canandaigua National Corporation,45 East Main Street,Rochester,14614,Monroe,POINT (-77.61127 43.155994)
Northfield Bank,6420 Amboy Road,Staten Island,10309,Richmond,POINT (-74.216934 40.521897)
Empower Federal Credit Union,722 West Broadway,Fulton,13069,Oswego,POINT (-76.432677 43.316543)
Banco Popular North America,2923 Third Avenue,Bronx,10455,Bronx,POINT (-73.915769 40.817392)
Bank of America N.A. GA1-006-15-40,116 Fifth Avenue,New York,10011,New York,POINT (-73.992321 40.737765)
"HSBC Bank USA, National Association",302 Third Avenue,New York,10010,New York,POINT (-73.983 40.739011)
"JPMorgan Chase Bank, National Association",25 South Main Street,Freeport,11520,Nassau,POINT (-73.582897 40.656959)
Citibank N. A.,51-10 Metropolitan Avenue,Ridgewood,11385,Kings,POINT (-73.915365 40.713486)
"NBT Bank, National Association",185 MARGARET STREET,PLATTSBURGH,12901,Clinton,POINT (-73.453356 44.701482)
Ridgewood Savings Bank,1035 FULTON ST.,BROOKLYN,11238,Kings,POINT (-73.960595 40.682167)
"JPMorgan Chase Bank, National Association",1002 Brighton Beach Avenue,Brooklyn,11235,Kings,POINT (-73.959205 40.578033)
Nassau Financial Federal Credit Union,"2201 Hempstead Turnpike, East",East Meadow,11554,Nassau,POINT (-73.554413 40.725298)
"Community Bank, N.A.",96 Union Turnpike (NY Route 66),Greenport,12534,Columbia,
Metropolitan Commercial Bank,111 Great Neck Road,Great Neck,11021,Nassau,POINT (-73.729345 40.785026)
"JPMorgan Chase Bank, National Association",71 West 23rd Street,New York,10010,New York,POINT (-73.992257 40.742671)
Sidney Federal Credit Union,16 South Main Street,Bainbridge,13733,Chenango,POINT (-75.480092 42.292957)
"NBT Bank, National Association",1572 State Highway 26,South Otselic,13155,Chenango,POINT (-75.783501 42.645096)
